Original_Video_Frame,Output_Video_Frame,Wheel_ID,Confidence,Wheel_X1,Wheel_Y1,Wheel_X2,Wheel_Y2,Wheel_Well_Y,Clearance_Distance_px
1352,338,Wheel_1,0.85,0,150,44,276,150,0
1356,339,Wheel_1,0.87,0,148,50,276,148,0
1360,340,Wheel_1,0.87,0,148,55,276,148,0
1364,341,Wheel_1,0.88,0,148,60,277,148,0
1368,342,Wheel_1,0.88,0,148,67,276,148,0
1372,343,Wheel_1,0.88,0,148,72,276,148,0
1376,344,Wheel_1,0.89,0,148,78,277,148,0
1380,345,Wheel_1,0.88,0,148,84,277,148,0
1384,346,Wheel_1,0.89,0,148,90,277,147,1
1388,347,Wheel_1,0.9,0,147,96,277,143,4
1392,348,Wheel_1,0.9,0,148,101,277,144,4
1396,349,Wheel_1,0.9,0,148,107,277,143,5
1400,350,Wheel_1,0.9,0,148,113,276,142,6
1404,351,Wheel_1,0.9,0,148,118,276,141,7
1408,352,Wheel_1,0.9,0,148,124,276,140,8
1412,353,Wheel_1,0.89,0,148,130,276,140,8
1416,354,Wheel_1,0.9,2,148,136,277,140,8
1420,355,Wheel_1,0.9,7,148,142,277,139,9
1424,356,Wheel_1,0.9,13,148,147,277,139,9
1428,357,Wheel_1,0.9,19,148,153,277,139,9
1432,358,Wheel_1,0.9,25,148,159,277,139,9
1436,359,Wheel_1,0.9,31,148,165,277,139,9
1440,360,Wheel_1,0.89,38,149,171,277,139,10
1444,361,Wheel_1,0.9,46,148,178,276,139,9
1448,362,Wheel_1,0.9,52,149,184,276,139,10
1452,363,Wheel_1,0.9,58,149,189,276,139,10
1456,364,Wheel_1,0.9,64,149,196,276,139,10
1460,365,Wheel_1,0.9,70,149,201,276,139,10
1464,366,Wheel_1,0.9,76,149,208,276,139,10
1468,367,Wheel_1,0.9,82,149,214,277,138,11
1472,368,Wheel_1,0.9,89,148,220,277,138,10
1476,369,Wheel_1,0.9,95,148,226,276,138,10
1480,370,Wheel_1,0.9,102,148,233,276,138,10
1484,371,Wheel_1,0.9,108,148,239,276,138,10
1488,372,Wheel_1,0.9,114,148,246,276,138,10
1492,373,Wheel_1,0.9,120,148,252,276,138,10
1496,374,Wheel_1,0.9,128,147,259,276,137,10
1500,375,Wheel_1,0.9,134,147,264,276,137,10
1504,376,Wheel_1,0.9,140,146,271,276,137,9
1508,377,Wheel_1,0.9,147,146,277,276,136,10
1512,378,Wheel_1,0.9,153,145,283,275,136,9
1516,379,Wheel_1,0.9,159,145,290,275,135,10
1520,380,Wheel_1,0.9,165,144,297,274,135,9
1524,381,Wheel_1,0.9,172,144,304,274,134,10
1528,382,Wheel_1,0.9,179,143,310,273,134,9
1532,383,Wheel_1,0.9,185,143,317,273,133,10
1536,384,Wheel_1,0.9,192,142,324,273,133,9
1540,385,Wheel_1,0.91,198,142,330,272,132,10
1544,386,Wheel_1,0.9,205,141,337,272,132,9
1548,387,Wheel_1,0.9,212,141,344,272,131,10
1552,388,Wheel_1,0.91,218,140,350,271,131,9
1556,389,Wheel_1,0.9,225,140,357,271,130,10
1560,390,Wheel_1,0.91,232,140,364,271,130,10
1564,391,Wheel_1,0.91,240,139,371,270,129,10
1568,392,Wheel_1,0.9,245,139,379,271,128,11
1572,393,Wheel_1,0.9,253,138,386,271,128,10
1576,394,Wheel_1,0.91,260,138,392,270,128,10
1580,395,Wheel_1,0.9,266,138,399,269,127,11
1584,396,Wheel_1,0.9,273,138,407,269,127,11
1588,397,Wheel_1,0.9,280,137,414,268,126,11
1592,398,Wheel_1,0.9,286,137,421,268,126,11
1596,399,Wheel_1,0.9,294,137,428,268,125,12
1600,400,Wheel_1,0.9,301,136,436,268,125,11
1604,401,Wheel_1,0.9,307,136,443,268,125,11
1608,402,Wheel_1,0.9,315,135,450,267,125,10
1612,403,Wheel_1,0.91,322,135,458,267,124,11
1616,404,Wheel_1,0.9,329,135,465,267,124,11
1620,405,Wheel_1,0.9,337,135,472,267,124,11
1624,406,Wheel_1,0.9,344,135,480,267,123,12
1628,407,Wheel_1,0.9,351,134,486,267,123,11
1632,408,Wheel_1,0.91,358,133,493,267,123,10
1636,409,Wheel_1,0.9,365,133,500,267,122,11
1640,410,Wheel_1,0.89,372,132,507,266,122,10
1644,411,Wheel_1,0.9,380,133,514,265,122,11
1648,412,Wheel_1,0.9,387,132,521,265,122,10
