Original_Video_Frame,Output_Video_Frame,Wheel_ID,Confidence,Wheel_X1,Wheel_Y1,Wheel_X2,Wheel_Y2,Wheel_Well_Y,Clearance_Distance_px
1564,391,Wheel_1,0.82,0,150,42,279,149,1
1568,392,Wheel_1,0.84,0,147,46,278,146,1
1572,393,Wheel_1,0.87,0,147,49,279,142,5
1576,394,Wheel_1,0.87,0,147,54,279,140,7
1580,395,Wheel_1,0.88,0,146,59,279,138,8
1584,396,Wheel_1,0.88,0,147,64,279,147,0
1588,397,Wheel_1,0.89,0,146,69,279,146,0
1592,398,Wheel_1,0.89,0,145,75,279,144,1
1596,399,Wheel_1,0.88,0,145,80,280,142,3
1600,400,Wheel_1,0.88,0,144,85,280,140,4
1604,401,Wheel_1,0.89,0,144,91,280,139,5
1608,402,Wheel_1,0.9,0,144,97,281,138,6
1612,403,Wheel_1,0.9,0,144,102,281,137,7
1616,404,Wheel_1,0.9,0,144,107,281,135,9
1620,405,Wheel_1,0.9,0,144,113,281,123,21
1624,406,Wheel_1,0.9,0,145,118,280,123,22
1628,407,Wheel_1,0.91,0,145,123,280,122,23
1632,408,Wheel_1,0.91,0,145,129,280,121,24
1636,409,Wheel_1,0.9,0,145,135,280,131,14
1640,410,Wheel_1,0.91,2,145,141,280,130,15
1644,411,Wheel_1,0.9,6,145,146,279,130,15
1648,412,Wheel_1,0.9,12,145,152,280,130,15
1652,413,Wheel_1,0.9,18,145,158,280,130,15
1656,414,Wheel_1,0.91,24,145,164,280,130,15
1660,415,Wheel_1,0.9,29,145,168,280,130,15
1664,416,Wheel_1,0.9,36,145,174,280,130,15
1668,417,Wheel_1,0.9,42,144,179,281,129,15
1672,418,Wheel_1,0.9,47,144,186,281,129,15
1676,419,Wheel_1,0.9,53,144,192,281,129,15
1680,420,Wheel_1,0.9,61,144,198,281,129,15
1684,421,Wheel_1,0.91,66,143,205,281,129,14
1688,422,Wheel_1,0.9,72,143,211,281,129,14
1692,423,Wheel_1,0.91,79,144,217,281,129,15
1696,424,Wheel_1,0.91,86,144,224,281,129,15
1700,425,Wheel_1,0.9,92,143,230,281,129,14
1704,426,Wheel_1,0.91,99,144,236,280,129,15
1708,427,Wheel_1,0.91,105,144,242,280,128,16
1712,428,Wheel_1,0.91,111,143,249,279,128,15
1716,429,Wheel_1,0.9,117,143,255,279,128,15
1720,430,Wheel_1,0.91,125,143,261,279,128,15
1724,431,Wheel_1,0.91,130,142,267,279,127,15
1728,432,Wheel_1,0.9,137,142,273,278,127,15
1732,433,Wheel_1,0.9,145,142,280,278,127,15
1736,434,Wheel_1,0.91,151,141,287,278,126,15
1740,435,Wheel_1,0.9,156,141,293,277,126,15
1744,436,Wheel_1,0.91,163,141,300,277,125,16
1748,437,Wheel_1,0.91,171,140,308,277,125,15
1752,438,Wheel_1,0.91,177,140,314,277,124,16
1756,439,Wheel_1,0.91,183,140,321,276,124,16
1760,440,Wheel_1,0.9,190,139,328,276,123,16
1764,441,Wheel_1,0.9,196,138,334,276,123,15
1768,442,Wheel_1,0.91,203,138,341,276,122,16
1772,443,Wheel_1,0.9,210,137,348,275,122,15
1776,444,Wheel_1,0.9,216,137,355,275,121,16
1780,445,Wheel_1,0.9,224,137,362,275,121,16
1784,446,Wheel_1,0.9,231,136,369,275,120,16
1788,447,Wheel_1,0.9,238,135,376,275,120,15
1792,448,Wheel_1,0.9,243,134,383,275,119,15
1796,449,Wheel_1,0.9,250,135,390,275,119,16
1800,450,Wheel_1,0.9,258,135,398,274,119,16
1804,451,Wheel_1,0.9,265,134,405,274,118,16
1808,452,Wheel_1,0.9,272,134,412,274,118,16
1812,453,Wheel_1,0.89,279,133,420,274,118,15
1816,454,Wheel_1,0.9,286,133,427,274,117,16
1820,455,Wheel_1,0.9,292,132,434,274,117,15
1824,456,Wheel_1,0.9,299,132,441,273,117,15
1828,457,Wheel_1,0.89,306,132,449,272,116,16
1832,458,Wheel_1,0.9,313,131,456,272,116,15
1836,459,Wheel_1,0.89,321,131,463,272,115,16
1840,460,Wheel_1,0.9,329,131,471,272,115,16
1844,461,Wheel_1,0.9,335,131,478,271,115,16
1848,462,Wheel_1,0.9,343,130,485,271,114,16
1852,463,Wheel_1,0.9,351,130,492,271,114,16
1856,464,Wheel_1,0.9,359,130,500,270,114,16
1860,465,Wheel_1,0.9,366,129,507,270,113,16
1864,466,Wheel_1,0.9,374,129,514,270,113,16
1868,467,Wheel_1,0.89,382,128,522,269,113,15
1872,468,Wheel_1,0.9,389,128,529,269,112,16
1876,469,Wheel_1,0.9,396,128,536,269,112,16
1880,470,Wheel_1,0.9,403,127,544,269,112,15
1884,471,Wheel_1,0.9,411,127,551,270,112,15
1884,471,Wheel_2,0.85,0,148,49,277,148,0
1888,472,Wheel_1,0.9,419,128,559,271,111,17
1888,472,Wheel_2,0.87,0,148,54,277,146,2
1892,473,Wheel_1,0.9,427,129,566,272,111,18
1892,473,Wheel_2,0.87,0,147,60,277,143,4
1896,474,Wheel_1,0.9,435,131,574,272,111,20
1896,474,Wheel_2,0.88,0,148,69,277,141,7
1900,475,Wheel_1,0.9,443,132,582,274,111,21
1900,475,Wheel_2,0.88,0,147,76,278,139,8
1904,476,Wheel_1,0.9,450,134,589,275,112,22
1904,476,Wheel_2,0.88,0,147,83,278,137,10
1908,477,Wheel_1,0.9,458,136,598,276,113,23
1908,477,Wheel_2,0.89,0,147,91,279,135,12
1912,478,Wheel_1,0.9,466,136,606,276,114,22
1912,478,Wheel_2,0.9,0,147,99,279,135,12
1916,479,Wheel_1,0.9,473,136,613,276,115,21
1916,479,Wheel_2,0.9,0,147,107,279,134,13
1920,480,Wheel_1,0.9,482,135,621,276,116,19
1920,480,Wheel_2,0.9,0,147,115,279,133,14
1924,481,Wheel_1,0.9,489,136,629,276,117,19
1924,481,Wheel_2,0.9,0,147,122,280,132,15
1928,482,Wheel_1,0.91,497,137,638,277,118,19
1928,482,Wheel_2,0.9,0,147,129,280,132,15
1932,483,Wheel_1,0.91,504,137,646,277,119,18
1932,483,Wheel_2,0.89,0,147,137,280,131,16
1936,484,Wheel_1,0.9,511,137,653,277,120,17
1936,484,Wheel_2,0.89,5,147,145,281,131,16
1940,485,Wheel_1,0.9,519,137,661,277,121,16
1940,485,Wheel_2,0.89,10,147,151,281,131,16
1944,486,Wheel_1,0.91,527,137,669,277,121,16
1944,486,Wheel_2,0.9,18,147,160,280,131,16
1948,487,Wheel_1,0.91,534,137,677,278,122,15
1948,487,Wheel_2,0.9,24,147,166,280,131,16
1952,488,Wheel_1,0.9,542,138,685,278,123,15
1952,488,Wheel_2,0.9,31,147,173,280,131,16
1956,489,Wheel_1,0.9,550,139,692,278,124,15
1956,489,Wheel_2,0.9,39,147,181,280,132,15
1960,490,Wheel_1,0.91,559,139,701,278,124,15
1960,490,Wheel_2,0.89,48,147,188,281,132,15
1964,491,Wheel_1,0.9,567,139,709,278,125,14
1964,491,Wheel_2,0.9,55,147,196,282,132,15
1968,492,Wheel_1,0.9,574,139,716,278,125,14
1968,492,Wheel_2,0.9,63,147,204,282,132,15
1972,493,Wheel_1,0.9,582,140,724,277,125,15
1972,493,Wheel_2,0.89,71,147,211,282,132,15
1976,494,Wheel_1,0.91,590,140,731,277,126,14
1976,494,Wheel_2,0.9,79,147,219,282,132,15
1980,495,Wheel_1,0.91,599,141,739,277,125,16
1980,495,Wheel_2,0.9,87,147,227,281,132,15
1984,496,Wheel_1,0.91,607,140,747,278,125,15
1984,496,Wheel_2,0.89,94,146,233,281,132,14
1988,497,Wheel_1,0.91,614,140,754,278,125,15
1988,497,Wheel_2,0.91,101,146,241,281,131,15
1992,498,Wheel_1,0.91,622,139,762,279,125,14
1992,498,Wheel_2,0.9,109,145,249,280,131,14
1996,499,Wheel_1,0.9,630,139,770,279,124,15
1996,499,Wheel_2,0.9,117,145,256,280,130,15
2000,500,Wheel_1,0.9,638,139,777,278,124,15
2000,500,Wheel_2,0.91,125,144,264,280,130,14
2004,501,Wheel_1,0.9,647,139,786,278,123,16
2004,501,Wheel_2,0.9,133,144,271,279,130,14
