Original_Video_Frame,Output_Video_Frame,Wheel_ID,Confidence,Wheel_X1,Wheel_Y1,Wheel_X2,Wheel_Y2,Wheel_Well_Y,Clearance_Distance_px
1052,263,Wheel_1,0.82,0,166,42,276,166,0
1056,264,Wheel_1,0.84,0,166,46,276,164,2
1060,265,Wheel_1,0.85,0,164,51,276,162,2
1064,266,Wheel_1,0.87,0,163,55,275,160,3
1068,267,Wheel_1,0.86,0,162,58,275,158,4
1072,268,Wheel_1,0.86,0,162,61,275,156,6
1076,269,Wheel_1,0.87,0,162,65,276,162,0
1080,270,Wheel_1,0.88,0,162,70,276,162,0
1084,271,Wheel_1,0.89,0,162,74,276,162,0
1088,272,Wheel_1,0.89,0,161,78,276,160,1
1092,273,Wheel_1,0.88,0,161,83,276,159,2
1096,274,Wheel_1,0.88,0,161,87,276,158,3
1100,275,Wheel_1,0.89,0,161,92,276,157,4
1104,276,Wheel_1,0.89,0,161,96,276,156,5
1108,277,Wheel_1,0.89,0,161,100,276,155,6
1112,278,Wheel_1,0.89,0,161,105,276,154,7
1116,279,Wheel_1,0.89,0,162,110,276,154,8
1120,280,Wheel_1,0.89,1,162,115,276,153,9
1124,281,Wheel_1,0.89,4,161,119,277,153,8
1128,282,Wheel_1,0.89,9,161,123,277,153,8
1132,283,Wheel_1,0.89,12,161,129,277,152,9
1136,284,Wheel_1,0.89,16,161,134,276,152,9
1140,285,Wheel_1,0.9,21,161,138,277,152,9
1144,286,Wheel_1,0.89,26,161,142,277,152,9
1148,287,Wheel_1,0.89,31,161,146,277,152,9
1152,288,Wheel_1,0.9,35,161,152,276,152,9
1156,289,Wheel_1,0.9,41,161,158,277,152,9
1160,290,Wheel_1,0.89,46,161,162,277,152,9
1164,291,Wheel_1,0.89,51,160,167,276,151,9
1168,292,Wheel_1,0.9,56,160,173,276,151,9
1172,293,Wheel_1,0.89,60,160,179,276,151,9
1176,294,Wheel_1,0.89,66,160,182,276,151,9
1180,295,Wheel_1,0.89,71,160,187,276,151,9
1184,296,Wheel_1,0.89,76,160,193,276,151,9
1188,297,Wheel_1,0.89,80,160,199,276,151,9
1192,298,Wheel_1,0.89,86,160,203,276,150,10
1196,299,Wheel_1,0.89,91,160,207,276,150,10
